                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9851,                 3.7475,                 4.2025,                 0.0035,                      1,                0.00623,                 0.0012,                 3.2901,                 3.5047,                 4.1568,               0.000125,               0.000125,               0.000125
                      2,                 2.9643,                 3.6798,                 4.1372,                0.00333,                      1,                0.00652,                0.00125,                 3.2953,                  3.469,                 4.1489,             0.00026163,             0.00026163,             0.00026163
                      3,                 2.8934,                  3.528,                 4.0014,                 0.0033,                      1,                0.01672,                0.00399,                 3.2872,                   3.41,                 4.1365,             0.00039736,             0.00039736,             0.00039736
                      4,                 2.6752,                 3.3422,                 3.8291,                0.00334,                      1,                0.06389,                0.00906,                 3.3088,                 3.3012,                  4.127,             0.00053218,             0.00053218,             0.00053218
                      5,                 2.5193,                  3.299,                 3.7001,                0.00329,                      1,                0.02983,                0.00431,                 3.3305,                 3.3847,                 4.0812,             0.00066609,             0.00066609,             0.00066609
                      6,                 2.4535,                 3.3018,                 3.5841,                0.00324,                      1,                0.08742,                0.00874,                 3.4874,                  3.576,                 4.1422,             0.00079909,             0.00079909,             0.00079909
                      7,                 2.3957,                 3.2277,                 3.4164,                0.00335,                      1,                0.01938,                0.00194,                 3.6797,                 3.2761,                 4.2192,             0.00093119,             0.00093119,             0.00093119
                      8,                  2.237,                 3.1423,                 3.2889,                0.00335,                      1,                0.01938,                0.00194,                 3.9095,                 3.3729,                  4.237,              0.0010624,              0.0010624,              0.0010624
                      9,                 2.3299,                 3.1921,                 3.3128,                0.00335,                      1,                0.01938,                0.00194,                 4.1156,                 3.5904,                 4.2528,              0.0011927,              0.0011927,              0.0011927
                     10,                 2.0025,                 3.0621,                 3.1485,                0.00357,                      1,                0.26642,                0.04454,                 3.2162,                 4.6352,                 3.6753,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.0607,                 3.0718,                 3.1166,                 0.0042,                      1,                0.05201,                0.01958,                 2.4409,                 3.7839,                 3.5075,              0.0012087,              0.0012087,              0.0012087
                     12,                  1.956,                 2.9964,                 2.9583,                0.00341,                      1,                 0.2602,                0.10133,                 3.4344,                  3.478,                 4.0607,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.8426,                 2.8365,                 2.8484,                0.00221,                    0.7,                0.10517,                0.03635,                 3.0021,                 3.5293,                 3.6367,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.8036,                 2.8696,                 2.8678,                0.01687,                   0.65,                 0.0467,                0.00824,                 3.2647,                 7.0465,                 3.8674,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.8092,                 2.8798,                 2.6962,                0.00873,                  0.325,                0.02241,                0.01081,                 2.3597,                 12.241,                 3.1329,              0.0011922,              0.0011922,              0.0011922
                     16,                  1.675,                  2.651,                 2.6313,                0.31515,                   0.45,                0.13169,                0.07704,                 1.4762,                 10.211,                 2.1739,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.6814,                 2.6293,                 2.5862,                 0.8699,                   0.25,                 0.3132,                0.21924,                 1.2087,                 9.0763,                  2.394,               0.001184,               0.001184,               0.001184
                     18,                 1.6296,                 2.5294,                 2.5417,                0.36302,                   0.75,                0.37057,                0.22234,                 1.4332,                 6.1873,                 2.0123,              0.0011799,              0.0011799,              0.0011799
                     19,                  1.641,                 2.5374,                 2.3767,                0.66278,                    0.5,                0.39381,                0.26945,                 1.1033,                 3.4899,                 1.5338,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.5376,                 2.4853,                 2.3612,                 0.4281,                0.67672,                0.39614,                0.34451,                0.71079,                 3.3432,                 1.3719,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.4338,                 2.4673,                 2.2501,                0.46632,                   0.75,                0.53916,                0.42818,                0.96492,                 2.8049,                 1.5243,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.3418,                 2.3729,                 2.1578,                0.43053,                   0.75,                0.32844,                0.22991,                  1.214,                 2.4122,                 1.8574,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.3339,                 2.2189,                 2.0673,                0.20745,                   0.75,                 0.4587,                0.38898,                0.79611,                 2.2414,                 1.6306,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.2438,                 2.2063,                 2.0478,                0.22894,                      1,                0.40034,                 0.3454,                0.83021,                 2.2742,                 1.7392,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.3135,                  2.191,                 2.0062,                0.13869,                0.51456,                0.40072,                0.35484,                0.88743,                 1.9722,                 1.6959,               0.001151,               0.001151,               0.001151
                     26,                  1.243,                 2.1405,                 1.9913,                0.68081,                    0.5,                 0.4209,                0.38016,                0.58597,                 1.9001,                 1.4053,              0.0011469,              0.0011469,              0.0011469
                     27,                  1.184,                 2.1107,                 1.9232,                0.23383,                      1,                0.40581,                0.31803,                0.95477,                 1.8771,                 1.6854,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.1283,                 2.1075,                 1.8471,                0.23284,                      1,                0.36503,                0.31198,                0.90527,                 1.7165,                 1.3901,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.0617,                 2.0291,                 1.7752,                0.20149,                   0.75,                0.38635,                0.34371,                 0.8398,                 1.7539,                 1.3509,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.0368,                 1.9811,                 1.7893,                0.46322,                   0.75,                  0.448,                0.42153,                0.63892,                 1.6822,                 1.3272,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.0021,                 1.9304,                 1.7431,                0.46413,                   0.75,                0.42737,                0.38463,                0.66875,                 1.5939,                 1.2074,              0.0011263,              0.0011263,              0.0011263
                     32,                 0.9836,                 1.8935,                 1.7775,                0.46098,                   0.75,                0.43977,                0.41355,                0.59633,                 1.5885,                 1.1451,              0.0011221,              0.0011221,              0.0011221
                     33,                 0.8834,                 1.9501,                 1.6694,                0.23194,                      1,                0.40511,                0.40152,                0.38565,                 1.6493,                0.90193,               0.001118,               0.001118,               0.001118
                     34,                0.91495,                  1.893,                 1.6772,                0.23377,                      1,                0.40196,                0.40196,                0.38473,                 1.6564,                0.91492,              0.0011139,              0.0011139,              0.0011139
                     35,                0.95322,                 1.8859,                 1.6911,                0.23223,                      1,                0.37362,                 0.3699,                0.52401,                 1.5775,                 1.0864,              0.0011098,              0.0011098,              0.0011098
                     36,                0.84446,                 1.8037,                 1.6528,                0.23382,                      1,                0.39368,                0.39368,                0.38998,                  1.411,                 1.0152,              0.0011056,              0.0011056,              0.0011056
                     37,                0.84454,                 1.8017,                  1.581,                0.23415,                      1,                0.38562,                0.38562,                0.31266,                 1.4331,                0.92394,              0.0011015,              0.0011015,              0.0011015
                     38,                0.80055,                 1.7574,                 1.5838,                0.23204,                      1,                0.38888,                0.38888,                0.37653,                  1.427,                0.95216,              0.0010974,              0.0010974,              0.0010974
                     39,                0.81399,                 1.7436,                 1.5527,                0.23168,                      1,                0.36836,                0.33292,                0.52372,                 1.5327,                 1.0543,              0.0010933,              0.0010933,              0.0010933
                     40,                0.86235,                 1.7652,                 1.5823,                0.23109,                      1,                0.45461,                 0.4227,                0.49662,                 1.4384,                 1.0288,              0.0010891,              0.0010891,              0.0010891
                     41,                0.75554,                 1.7389,                 1.4954,                0.23141,                      1,                 0.3767,                 0.3767,                0.36352,                 1.3977,                0.82063,               0.001085,               0.001085,               0.001085
                     42,                0.75937,                 1.6351,                 1.4791,                0.23144,                      1,                0.37709,                0.37709,                0.28655,                 1.4002,                0.73769,              0.0010809,              0.0010809,              0.0010809
                     43,                0.77109,                 1.6776,                 1.4919,                0.22699,                      1,                0.41441,                0.41441,                0.30317,                 1.4498,                0.70787,              0.0010768,              0.0010768,              0.0010768
                     44,                0.79084,                  1.662,                 1.5129,                0.23233,                      1,                 0.3845,                 0.3845,                0.39204,                 1.4265,                0.81859,              0.0010726,              0.0010726,              0.0010726
                     45,                0.68538,                 1.5984,                  1.481,                0.23225,                      1,                0.38061,                0.38061,                0.29438,                 1.3737,                0.71596,              0.0010685,              0.0010685,              0.0010685
                     46,                0.76013,                 1.6402,                  1.474,                0.23241,                      1,                0.43287,                0.43287,                0.27442,                 1.3823,                 0.7292,              0.0010644,              0.0010644,              0.0010644
                     47,                0.74272,                 1.5681,                 1.5048,                0.23326,                      1,                0.43387,                0.43387,                0.26186,                 1.2892,                0.59967,              0.0010603,              0.0010603,              0.0010603
                     48,                0.72846,                 1.5978,                 1.4143,                0.23332,                      1,                0.37644,                0.37644,                0.29789,                 1.2746,                0.58542,              0.0010561,              0.0010561,              0.0010561
                     49,                0.65773,                  1.567,                 1.3962,                0.23464,                      1,                0.38862,                0.38862,                0.29846,                 1.3176,                0.62059,               0.001052,               0.001052,               0.001052
                     50,                0.67133,                 1.5142,                 1.3914,                0.23363,                      1,                0.41146,                0.41146,                0.24369,                  1.316,                0.61875,              0.0010479,              0.0010479,              0.0010479
                     51,                0.66413,                 1.5603,                 1.3553,                0.23451,                      1,                0.63385,                0.60897,                0.28072,                 1.3135,                0.59752,              0.0010438,              0.0010438,              0.0010438
                     52,                0.63975,                  1.501,                  1.367,                0.23372,                      1,                0.43198,                0.43198,                0.22097,                 1.2955,                0.46718,              0.0010396,              0.0010396,              0.0010396
                     53,                0.60569,                 1.5132,                  1.384,                0.23341,                      1,                0.43988,                0.43988,                 0.1982,                 1.3092,                0.45738,              0.0010355,              0.0010355,              0.0010355
                     54,                0.58923,                 1.5052,                 1.3523,                 0.2343,                      1,                0.41883,                0.41883,                0.28541,                 1.2584,                0.49881,              0.0010314,              0.0010314,              0.0010314
                     55,                0.59945,                 1.4974,                 1.3182,                 0.2324,                      1,                0.41517,                0.40537,                0.39984,                 1.2767,                0.69117,              0.0010273,              0.0010273,              0.0010273
                     56,                 0.6113,                 1.4845,                 1.3107,                0.23253,                      1,                0.40628,                0.40628,                0.33727,                  1.272,                0.63503,              0.0010231,              0.0010231,              0.0010231
                     57,                0.60861,                 1.5282,                  1.325,                0.23356,                      1,                0.35251,                0.35251,                0.38705,                 1.2827,                0.66169,               0.001019,               0.001019,               0.001019
                     58,                0.57873,                 1.4832,                 1.3383,                0.23338,                      1,                0.43138,                0.43138,                0.34651,                 1.3265,                0.61193,              0.0010149,              0.0010149,              0.0010149
                     59,                0.57263,                 1.4873,                  1.266,                0.23365,                      1,                0.42909,                0.42909,                0.28578,                 1.3298,                0.56247,              0.0010107,              0.0010107,              0.0010107
                     60,                0.49541,                 1.4471,                 1.2668,                0.23312,                      1,                0.52371,                0.52371,                0.27897,                 1.2916,                0.61101,              0.0010066,              0.0010066,              0.0010066
                     61,                0.48179,                 1.3524,                 1.2364,                0.23348,                      1,                0.40583,                0.40583,                0.25626,                 1.3192,                0.61745,              0.0010025,              0.0010025,              0.0010025
                     62,                0.55069,                 1.4453,                 1.2273,                0.23297,                      1,                0.44546,                0.44546,                0.23463,                 1.2973,                0.56108,             0.00099837,             0.00099837,             0.00099837
                     63,                 0.4885,                  1.428,                 1.2488,                 0.2331,                      1,                0.36175,                0.36175,                0.26201,                 1.2407,                0.53533,             0.00099425,             0.00099425,             0.00099425
                     64,                0.49781,                 1.4326,                 1.2358,                0.23241,                      1,                0.45939,                0.45939,                0.21697,                 1.1894,                0.47909,             0.00099013,             0.00099013,             0.00099013
                     65,                0.46513,                 1.4062,                 1.2251,                0.23487,                      1,                0.44474,                0.44474,                0.18385,                 1.2234,                0.46235,               0.000986,               0.000986,               0.000986
                     66,                0.43185,                 1.3771,                 1.1881,                0.23645,                      1,                0.40072,                0.40072,                0.22259,                 1.2165,                0.48525,             0.00098187,             0.00098187,             0.00098187
                     67,                0.43558,                 1.3472,                 1.1949,                0.23772,                      1,                0.42106,                0.42106,                0.24028,                 1.2368,                0.50036,             0.00097775,             0.00097775,             0.00097775
                     68,                0.45106,                 1.3744,                 1.1851,                0.23592,                      1,                0.54576,                0.54576,                0.20412,                  1.245,                0.43265,             0.00097362,             0.00097362,             0.00097362
                     69,                0.41485,                 1.3724,                 1.1952,                0.23487,                      1,                0.52988,                0.52988,                0.16454,                 1.2559,                0.38699,              0.0009695,              0.0009695,              0.0009695
                     70,                 0.4405,                  1.346,                 1.1711,                0.23723,                      1,                0.51201,                0.51201,                0.17503,                 1.2177,                0.41426,             0.00096537,             0.00096537,             0.00096537
                     71,                 0.4385,                  1.344,                 1.1771,                0.23352,                      1,                0.54349,                0.54349,                0.27352,                 1.2462,                 0.5636,             0.00096125,             0.00096125,             0.00096125
                     72,                0.38943,                 1.2134,                  1.163,                0.23342,                      1,                0.60085,                0.60085,                0.20418,                 1.2774,                0.47097,             0.00095712,             0.00095712,             0.00095712
                     73,                0.43292,                 1.2972,                  1.146,                0.23334,                      1,                0.48242,                0.48242,                 0.1845,                 1.3076,                0.42134,               0.000953,               0.000953,               0.000953
                     74,                  0.406,                 1.3107,                 1.1354,                0.24064,                 0.8798,                0.35884,                0.35884,                0.22202,                  1.288,                0.46442,             0.00094887,             0.00094887,             0.00094887
                     75,                0.42956,                 1.3967,                 1.1638,                0.45806,                   0.75,                0.39971,                0.39971,                0.21712,                 1.3208,                0.44376,             0.00094475,             0.00094475,             0.00094475
                     76,                0.42733,                 1.3231,                  1.157,                0.45816,                   0.75,                0.40932,                0.40932,                0.27925,                 1.2815,                0.48314,             0.00094062,             0.00094062,             0.00094062
                     77,                0.45723,                 1.3746,                   1.16,                0.23507,                0.80394,                0.47151,                0.47151,                0.24313,                 1.2702,                 0.4735,              0.0009365,              0.0009365,              0.0009365
                     78,                0.41349,                 1.2898,                  1.156,                0.23313,                      1,                0.38844,                0.38844,                0.18704,                 1.2434,                0.42264,             0.00093238,             0.00093238,             0.00093238
                     79,                0.37333,                 1.2927,                 1.1452,                0.23649,                      1,                0.48318,                0.48318,                0.15233,                 1.2186,                0.36762,             0.00092825,             0.00092825,             0.00092825
                     80,                0.37818,                 1.3184,                 1.1201,                0.23961,                      1,                0.41863,                0.41863,                0.12327,                 1.2257,                0.34465,             0.00092413,             0.00092413,             0.00092413
                     81,                0.40067,                 1.3238,                 1.1007,                 0.2328,                      1,                0.40434,                0.40434,                0.17389,                 1.2458,                0.36472,                0.00092,                0.00092,                0.00092
                     82,                0.35109,                 1.3236,                 1.1029,                0.23301,                      1,                 0.5109,                 0.5109,                0.21733,                 1.2227,                0.39455,             0.00091588,             0.00091588,             0.00091588
                     83,                0.40067,                 1.2999,                 1.1085,                0.23211,                      1,                0.46392,                0.46392,                0.32493,                 1.1605,                0.52496,             0.00091175,             0.00091175,             0.00091175
                     84,                0.38502,                 1.3114,                 1.1292,                0.23692,                      1,                 0.7375,                 0.7375,                0.29422,                 1.1861,                0.55859,             0.00090763,             0.00090763,             0.00090763
                     85,                0.36535,                 1.2587,                 1.0765,                0.23303,                      1,                 0.4554,                 0.4554,                0.22582,                  1.198,                0.47673,              0.0009035,              0.0009035,              0.0009035
                     86,                 0.3671,                 1.2657,                 1.0678,                0.23391,                      1,                  0.597,                  0.597,                0.26206,                  1.183,                0.50037,             0.00089938,             0.00089938,             0.00089938
                     87,                0.39975,                 1.3123,                 1.0711,                0.23309,                      1,                0.54725,                0.54725,                 0.2539,                 1.1701,                0.47582,             0.00089525,             0.00089525,             0.00089525
                     88,                0.38921,                 1.3166,                 1.0973,                0.23294,                      1,                0.50675,                0.50675,                 0.2247,                 1.1905,                0.42176,             0.00089112,             0.00089112,             0.00089112
                     89,                0.37565,                 1.3456,                 1.1202,                 0.2327,                      1,                0.51002,                0.51002,                0.16835,                 1.1826,                0.37821,               0.000887,               0.000887,               0.000887
                     90,                0.36658,                 1.2991,                 1.0774,                 0.2324,                      1,                0.43207,                0.43207,                0.15127,                 1.1795,                0.34493,             0.00088288,             0.00088288,             0.00088288
                     91,                0.33359,                 1.2865,                 1.0892,                0.23195,                      1,                 0.5047,                 0.5047,                0.13265,                 1.2498,                0.31264,             0.00087875,             0.00087875,             0.00087875
                     92,                0.31744,                 1.2443,                 1.1001,                0.23349,                      1,                0.63196,                0.63196,                0.20044,                 1.2332,                0.39005,             0.00087462,             0.00087462,             0.00087462
                     93,                0.35422,                  1.245,                 1.0811,                0.23395,                      1,                   0.64,                   0.64,                0.19548,                 1.2338,                0.39582,              0.0008705,              0.0008705,              0.0008705
                     94,                0.36853,                 1.2803,                 1.0792,                0.23383,                      1,                0.48458,                0.48458,                0.18774,                 1.2298,                 0.4019,             0.00086637,             0.00086637,             0.00086637
                     95,                0.31774,                 1.2678,                 1.0687,                0.23222,                      1,                0.38874,                0.38874,                0.16694,                 1.2164,                0.38866,             0.00086225,             0.00086225,             0.00086225
                     96,                0.33823,                 1.2831,                 1.1004,                0.23158,                      1,                0.39008,                0.39008,                 0.1647,                  1.243,                0.36362,             0.00085813,             0.00085813,             0.00085813
                     97,                0.33657,                 1.2956,                 1.0827,                0.23167,                      1,                0.41211,                0.41211,                0.17636,                 1.2109,                0.35383,               0.000854,               0.000854,               0.000854
                     98,                0.38038,                 1.3217,                 1.0914,                0.23183,                      1,                0.53199,                0.53199,                0.19469,                 1.2237,                0.36484,             0.00084988,             0.00084988,             0.00084988
                     99,                0.35351,                 1.2613,                 1.0627,                0.23275,                      1,                0.46357,                0.46357,                0.23753,                 1.1891,                0.40551,             0.00084575,             0.00084575,             0.00084575
                    100,                0.36955,                 1.2729,                 1.0816,                0.23206,                      1,                0.38328,                0.38328,                0.17398,                 1.3405,                0.30012,             0.00084162,             0.00084162,             0.00084162
                    101,                0.34478,                 1.2443,                 1.0769,                0.23184,                      1,                0.37999,                0.37999,                  0.139,                 1.3277,                0.29108,              0.0008375,              0.0008375,              0.0008375
                    102,                0.41315,                 1.2736,                 1.0866,                0.23217,                      1,                0.37503,                0.37503,                0.14935,                 1.2618,                0.30801,             0.00083337,             0.00083337,             0.00083337
                    103,                0.37307,                 1.2874,                  1.066,                0.22969,                      1,                0.66257,                0.66257,                0.22238,                 1.1899,                0.39227,             0.00082925,             0.00082925,             0.00082925
                    104,                0.33135,                 1.2636,                   1.08,                0.23515,                      1,                0.51778,                0.51778,                0.17432,                 1.1605,                0.37814,             0.00082513,             0.00082513,             0.00082513
                    105,                0.33772,                 1.2209,                 1.0586,                0.23283,                      1,                0.51162,                0.51162,                0.17218,                 1.1658,                0.35997,               0.000821,               0.000821,               0.000821
                    106,                0.35837,                  1.288,                 1.0823,                0.23664,                      1,                0.46482,                0.46482,                0.13608,                 1.2061,                0.33352,             0.00081688,             0.00081688,             0.00081688
                    107,                 0.3604,                 1.3249,                 1.0612,                   0.25,                      1,                 0.3694,                 0.3694,                0.11259,                 1.1832,                 0.3211,             0.00081275,             0.00081275,             0.00081275
                    108,                 0.3556,                 1.2598,                 1.0656,                0.23968,                      1,                0.41616,                0.41616,                0.15669,                 1.1761,                0.36177,             0.00080863,             0.00080863,             0.00080863
                    109,                0.29579,                 1.2334,                 1.0527,                0.23642,                      1,                0.42027,                0.42027,                0.17537,                 1.1971,                0.36032,              0.0008045,              0.0008045,              0.0008045
                    110,                0.32651,                 1.2454,                 1.0506,                0.23631,                      1,                0.38863,                0.38863,                0.18322,                 1.2124,                0.34579,             0.00080038,             0.00080038,             0.00080038
                    111,                0.30002,                 1.2531,                 1.0804,                0.23964,                      1,                0.59683,                0.59683,                0.13074,                 1.1865,                0.29451,             0.00079625,             0.00079625,             0.00079625
                    112,                 0.3047,                 1.2516,                 1.0417,                0.23963,                      1,                0.40215,                0.40215,                  0.137,                 1.1428,                 0.2968,             0.00079213,             0.00079213,             0.00079213
                    113,                0.26922,                 1.2448,                 1.0425,                0.23656,                      1,                0.41794,                0.41794,                 0.0984,                 1.1786,                0.27547,               0.000788,               0.000788,               0.000788
                    114,                0.30053,                 1.2582,                 1.0528,                 0.2328,                      1,                0.36653,                0.36653,                 0.1261,                 1.1707,                0.30062,             0.00078387,             0.00078387,             0.00078387
                    115,                0.30978,                  1.253,                  1.072,                0.23183,                      1,                0.36326,                0.36326,                0.14519,                 1.1615,                0.32059,             0.00077975,             0.00077975,             0.00077975
                    116,                 0.2899,                 1.2252,                 1.0372,                0.23184,                      1,                0.36586,                0.36586,                0.15012,                 1.1603,                0.30591,             0.00077563,             0.00077563,             0.00077563
                    117,                0.31335,                 1.2416,                 1.0742,                  0.232,                      1,                0.33906,                0.33906,                0.12443,                 1.1783,                 0.2821,              0.0007715,              0.0007715,              0.0007715
                    118,                0.34045,                 1.2604,                 1.0623,                0.23221,                      1,                0.40258,                0.40258,                0.12545,                  1.176,                0.27752,             0.00076738,             0.00076738,             0.00076738
                    119,                0.28526,                 1.2296,                 1.0453,                0.23203,                      1,                0.41888,                0.41888,                 0.1535,                 1.1656,                0.33184,             0.00076325,             0.00076325,             0.00076325
                    120,                0.27791,                 1.1988,                 1.0311,                0.23177,                      1,                0.44892,                0.44892,                0.14958,                 1.1594,                0.34773,             0.00075912,             0.00075912,             0.00075912
                    121,                0.29244,                 1.2486,                 1.0772,                0.23159,                      1,                0.39987,                0.39987,                0.14982,                 1.1476,                0.30962,               0.000755,               0.000755,               0.000755
                    122,                0.31528,                 1.2106,                 1.0296,                0.23172,                      1,                0.33755,                0.33755,                 0.1374,                 1.1386,                0.29071,             0.00075088,             0.00075088,             0.00075088
                    123,                 0.3065,                 1.2438,                 1.0831,                0.23192,                      1,                0.31145,                0.31145,                0.12462,                  1.139,                0.27548,             0.00074675,             0.00074675,             0.00074675
                    124,                0.29258,                 1.2591,                 1.0202,                 0.2397,                      1,                0.51217,                0.51217,                0.14783,                 1.1762,                0.28822,             0.00074263,             0.00074263,             0.00074263
                    125,                0.27252,                 1.1412,                 1.0368,                0.23968,                      1,                0.45835,                0.45835,                0.16056,                 1.1492,                0.31006,              0.0007385,              0.0007385,              0.0007385
                    126,                0.31031,                 1.2226,                 1.0302,                 0.2363,                      1,                0.40447,                0.40447,                0.16757,                 1.1454,                0.31425,             0.00073437,             0.00073437,             0.00073437
                    127,                0.25557,                 1.2082,                 1.0101,                 0.2319,                      1,                0.59694,                0.59694,                0.14601,                 1.1717,                0.29333,             0.00073025,             0.00073025,             0.00073025
                    128,                0.26942,                 1.2136,                 1.0578,                0.23179,                      1,                0.52749,                0.52749,                0.12435,                 1.1604,                0.26211,             0.00072612,             0.00072612,             0.00072612
                    129,                 0.2623,                 1.2012,                 1.0225,                0.23112,                      1,                0.46776,                0.46776,                 0.1483,                 1.1956,                0.26439,               0.000722,               0.000722,               0.000722
                    130,                0.28029,                 1.1785,                 1.0284,                0.23162,                      1,                 0.5519,                 0.5519,                 0.1157,                 1.1757,                0.24026,             0.00071788,             0.00071788,             0.00071788
                    131,                0.31334,                 1.2678,                 1.0446,                0.23642,                      1,                0.46857,                0.46857,                0.10984,                 1.1558,                0.23651,             0.00071375,             0.00071375,             0.00071375
                    132,                0.30805,                  1.234,                 1.0775,                0.23317,                      1,                 0.3004,                 0.3004,                 0.1705,                 1.1515,                 0.2886,             0.00070962,             0.00070962,             0.00070962
                    133,                0.27497,                 1.2108,                  1.026,                0.23213,                      1,                0.30076,                0.30076,                0.20763,                 1.1577,                0.33853,              0.0007055,              0.0007055,              0.0007055
                    134,                0.25079,                 1.1594,                 1.0394,                0.23229,                      1,                0.31291,                0.31291,                0.23373,                 1.1514,                0.36602,             0.00070137,             0.00070137,             0.00070137
